Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,GREEN_LED,LED_0402_1005Metric,145.1,-90.5,0.0,top
D2,GREEN_LED,LED_0402_1005Metric,140.4,-85.4,0.0,top
D3,GREEN_LED,LED_0402_1005Metric,145.0,-80.3,0.0,top
D4,GREEN_LED,LED_0402_1005Metric,145.0,-73.3,0.0,top
D5,GREEN_LED,LED_0402_1005Metric,151.74,-80.55,0.0,top
D6,GREEN_LED,LED_0402_1005Metric,151.94,-89.6,0.0,top
J1,Conn_01x02_Socket,Hirose_DF13C_CL535-0402-2-51_1x02-1MP_P1.25mm_Vertical,156.325,-75.275,270.0,bottom
R1,330R,R_0402_1005Metric,145.1,-91.8,0.0,top
R2,330R,R_0402_1005Metric,145.025,-81.5,0.0,top
R3,330R,R_0402_1005Metric,145.0,-74.5,0.0,top
R4,330R,R_0402_1005Metric,140.4,-86.7,0.0,top
R5,330R,R_0402_1005Metric,151.74,-81.75,0.0,top
R6,330R,R_0402_1005Metric,151.94,-90.9,0.0,top
