LCSC Part Number,Quoted Manufacturer,Quoted LCSC Part Number,Quoted Manufacturer Part Number,Quantity,Unit Price,Order Price,Quantity Available,Min\Mult Order Qty,RoHS,Part Match Confidence
C103831,RALEC,C103831,RTT038202FTP,100,0.0028,0.28,99700,100\100,yes,100%
C23186,UNI-ROYAL(Uniroyal Elec),C23186,0603WAF5101T5E,100,0.001,0.10,1548200,100\100,yes,100%
C2685358,COSINE,C2685358,COS4427SR,10,0.3882,3.88,20107,1\1,yes,100%
C2847473,KOHERelec,C2847473,MDA4020-100M,5,0.7701,3.85,2076,1\1,yes,100%
C2927280,JSMSEMI,C2927280,1N5819WS S4,25,0.0085,0.20,558490,5\5,yes,100%
C2988369,G-Switch,C2988369,GT-USB-7010ASV,5,0.0787,0.35,39365,5\5,yes,100%
C3040689,Changzhou Amass Elec,C3040689,XT90PW-M.G.Y,5,0.63,3.02,725,1\1,yes,100%
C30926,FH (Guangdong Fenghua Advanced Tech),C30926,0603B104K500NT,100,0.0023,0.23,40547100,100\100,yes,100%
C4210,UNI-ROYAL(Uniroyal Elec),C4210,0603WAF1602T5E,100,0.001,0.10,322600,100\100,yes,100%
C5123971,Legend-Si,C5123971,LGS5145,5,0.1169,0.50,51050,5\5,yes,100%
C5148663,HXY MOSFET,C5148663,NTMFS4C03N-HXY,30,0.2801,8.40,469,1\1,yes,100%
C53040,BOOMELE(Boom Precision Elec),C53040,C53040,19,0.0781,1.48,6650,19\19,yes,100%
C98663,Nexperia,C98663,"PMEG6020ER,115",5,0.1329,0.66,10075,5\5,yes,100%
C98744,ST(Semtech),C98744,CS1H220M-CRE54,10,0.0274,0.27,103030,10\10,yes,100%
C99836,ROQANG,C99836,RVE1C221M0607,10,0.0446,0.40,310710,10\10,yes,100%
